chunk_text,topic
"Godard van Reede en de kolonie 
op Stateneiland’, Huizen aan het Janskerkhof. Over de geschiedenis 
van een lommerrĳk plein in Utrecht, https://www.huizenaanhetjans-
kerkhof.nl/godart-van-reede-stateneiland/ (geraadpleegd 27-01-2021). Dienke Hondius et al. (red.), Dutch New York Histories : Connecting 
African, Native American and Slavery",Colonial Exploitation & Economic Inequality
"Er zĳn meer contacten tussen Belle van Zuylen en de koloniën in Azië 
en in de Atlantische wereld. Belle van Zuylens nicht en hartsvriendin 
Annabetje trouwde in 1765 met Frederik Ch.R. van Reede (1743-1808).41 Hĳ werd in 1770, toen Belle nog in Utrecht woonde, bewindhebber van 
de voc. Niet alleen in briefvorm hielden beide vrouwen intensief contact 
met elkaar, ook bleven zĳ elkaar bezoeken, zelfs toen Belle van Zuylen 
naar Neuchâtel was verhuisd. Toen Belle en haar echtgenoot eenmaal 
in het plaatsje Colombier in het toenmalige vorstendom Neuchâtel in 
Zwitserland woonden, kwam het echtpaar Van Reede op bezoek.42 
Tot slot trouwde Belle van Zuylens zusje, Johanna Maria (1746-1803) 
in 1763 met Cornelis de Perponcher Sedlnitzky (1741-1776).",Colonial Exploitation & Economic Inequality
"Dat moest wel, want de Cariben 
en Arawakken vielen in die periode de plantages vanaf Perica aan, in het 
huidige Marowijne-district, tot aan de Parakreek in het huidige district 
Para. Afrikaanse slaafgemaakten werden er toen ook door de Cariben toe 
aangezet om de plantages te ontvluchten. Via de tactiek van verdeel en 
heers werden de Cariben van het westen (Corantijnrivier) door de Europe­
se bezetters uitgespeeld tegen de Cariben in het oosten (Marowijne­rivier). Uiteindelijk hebben de Cariben, Arawakken en Warraus met hulp van 
Afrikaanse slaafgemaakten vrede kunnen afdwingen in 1686, waarbij ze 
voor zichzelf een aantal fundamentele vrijheden hebben weten te 
­verwerven, of beter gezegd teruggekregen, zoals de erkenning van hun 
leefgebieden en gezagsdragers en de stopzetting van slavenarbeid voor 
hun leden.7 
Met het vertrek van de Engelse planters en de aanvallen van de Cariben 
gaven de Zeeuwen de kolonie op. Die werd daarom in 1683 officieel overge­
dragen, eerst aan de West-Indische Compagnie (wic) en enkele maanden 
later aan de geoctrooieerde Sociëteit van Suriname.",Colonial Exploitation & Economic Inequality
"De vele testamenten die Sara Sibilla Verdion tĳdens haar leven in 
zowel Batavia als Utrecht liet opmaken, geven aan hoe belangrĳk het 
was om haar kapitaal veilig te stellen.18 Daarin was zĳ geenszins de 
enige. Archiefstukken van ruim een eeuw later laten zien hoe slavenei-
genaren uit de Utrechtse elite na de afschaffing van de slavernĳ (1863) 
financiële compensatie voor de vrĳlating van hun slaafgemaakten 
aanvroegen. Slavenhouders ontvingen een compensatie van 300 gulden 
per vrĳgemaakte slaaf.19 Omgerekend naar de huidige koopkracht zou 
dit een bedrag zĳn van meer dan 3000 euro. Natuurlĳk zĳn mensen-
levens niet in geld uit te drukken, maar de omrekening geeft aan dat 
de geschatte waarde van een slaaf zeer aanzienlĳk was.",Colonial Exploitation & Economic Inequality
"Een van hen was Hendrik Swel-
lengrebel. Zĳn leven begon in Kaap de Goede Hoop, maar zou wel in 
Utrecht eindigen. De voorouders van Hendrik kwamen uit Stettin, in 
het huidige Polen, en waren handelaars. Zĳn vader, Johannes Balthasar, 
was geboren in Moskou en was naar de Republiek getrokken om dienst 
te nemen bĳ de voc. Hĳ kwam in Kaap de Goede Hoop terecht en klom 
op tot lid van de politieke raad.",Colonial Exploitation & Economic Inequality
"88 
REMCO RABEN
en mensendiefstal, zelfs binnen de stad Makassar. Aziatische slaven-
halers leverden de slaafgemaakten in Makassar vooral aan Europese 
burgerhandelaren, die de route naar Batavia voor hun rekening namen. In de achttiende eeuw ging het om honderden slaafgemaakten per jaar. Daarnaast namen ook voc-dienaren op grote schaal slaafgemaakten 
mee op hun tochten van Makassar naar Batavia en verkochten hen 
daar voor eigen rekening. De behandeling op de schepen schĳnt zo 
erbarmelĳk te zĳn geweest dat zelfs de bewindhebbers in de Republiek 
op betere verzorging aandrongen.25",Colonial Exploitation & Economic Inequality
"de wic slaafgemaakten naar dit 
gebied. In 1662 sloot de wic bovendien met de Spaanse Kroon een asiento, 
waardoor de wic in het Caribisch gebied het alleenrecht verwierf om de 
Spaanse koloniën van slaafgemaakten te voorzien. In deze periode groeide 
Curaçao en later Sint-Eustatius, kortstondig, uit tot de belangrijkste distri­
butiecentra van slaafgemaakten in de regio. Na het verlies van het asiento in 
1713, werd de positie van Curaçao als wic-distributiecentrum van Afrikanen 
meteen minder belangrijk. Wat niet inhield dat er geen slaaf­gemaakten 
meer verhandeld werden:",Colonial Exploitation & Economic Inequality
"Op zoek naar een nieuw Brazilië In 1645 kwamen de Portugese planters in opstand tegen het gezag van de 
wic. Al twee jaar eerder waren er geruchten geweest van een opstand en 
nota bene de kapitein van de garde van Johan Maurits was gevangengezet. In de loop van 1645 verloor de wic de controle over de binnenlanden aan 
de Portugezen en restte de Compagnie niet veel meer dan de controle over 
een aantal sterktes aan de kust. Pogingen om de opstandelingen te ver­

— 285 —
slaan liepen uit op nederlagen.",Colonial Exploitation & Economic Inequality
"Hoewel de context van slavernĳ per plaats ver-
schilde, geldt voor nagenoeg de gehele koloniale wereld dat geen enkele 
economische activiteit kon worden ondernomen zonder de arbeid van 
tot slaaf gemaakten. Het onderzoek naar de koloniale connecties van Utrecht en de 
Utrechters is een goed voorbeeld van hoe betrokkenheid bĳ het slaver-
nĳverleden eruitziet in steden die zelf geen grote koloniale instituties 
herbergden. De casus Utrecht is daarmee een ideaal testterrein om de 
algemene verwevenheid van Nederland met de op slavernĳ gebaseerde 
productieketens te onderzoeken. Het opzetten van soortgelĳk onderzoek 
in andere middelgrote Nederlandse steden strekt tot aanbeveling, want 
alleen zo valt de structurele verwevenheid van Nederland als geheel met 
het verleden van kolonialisme en slavernĳ goed te begrĳpen. Het imperium en de betrokken organisaties waren van groot belang 
voor de Utrechtse werkgelegenheid.",Colonial Exploitation & Economic Inequality
"De Nederlanders waren 

— 308 —
— STAAT EN SLAVERNIJ — Een ets van Wouter Schouten uit 1676 van gevangengenomen Bengalezen in Pipely,  
Orissa (Baliapal, Odisha). Deze werden door Arakanen verkocht aan vertegenwoordigers 
van de VOC. Waarschijnlijk waren de meeste gevangenen vrouwen. — 309 —
— NEDERLANDSE KOLONIALE SLAVERNIJ",Colonial Exploitation & Economic Inequality
"Van oudsher heb ik neiging gehad het op te nemen vóór de knechten 
tegen hun meesters, vóór de kinderen tegen hun vaders, vóór de on-
derdanen tegen hun vorsten’, schreef de adellĳke Isabelle de Charrière, 
geboren Van Tuyll van Serooskerken en in Nederland beter bekend 
onder de naam Belle van Zuylen (1740-1805), in de zomer van 1794 aan 
de Duitse vertaler van haar literaire werken. ‘ Duizend maal’, zo ging ze 
verder, ‘ben ik ontgoocheld en duizend maal schaamde ik mĳ voor mĳn 
lichtgelovigheid, maar ik verbeter mezelf niet. […]",Colonial Exploitation & Economic Inequality
"Het Nationaal Archief in Den Haag heeft veel van de bronnen 
over de drie koloniën gedigitaliseerd, inclusief stukken uit het Archief van 
Guyana in Georgetown en The National Archives in Kew (vk). Dat zal 
zeker helpen om onderwerpen als de rol van slaafgemaakten in de onder­
grondse economie, genderrelaties, verhoudingen tussen Afrikanen en 
Zuid-Amerikanen, de handel in lokale slaafgemaakten, de denkwereld 
van de slaafgemaakten, en het dagelijks leven op plantages, verder uit te 
diepen. Pas dan zal er een ‘koloniale’ geschiedenis ontstaan die aan alle 
betrokkenen recht doet en die beantwoordt aan de urgente vragen van 
vandaag.",Colonial Exploitation & Economic Inequality
"Mensen 
uit de elite met macht, rĳkdom en een opleiding lieten volop sporen 
na: brieven, logboeken en handtekeningen op notarisstukken. Dat 
geldt ook voor Sara Sibilla Verdion. Van minder machtige mensen is 
veel minder bewaard gebleven en van slaafgemaakten zelf zo goed 
als niets – schrĳven konden ze veelal niet, en als koopwaar werd hun 
niets gevraagd.",Colonial Exploitation & Economic Inequality
"Sara Sibilla Verdion en Sibilla 
van Batavia De verweven levens van een Utrechtse notabele en een 
Aziatische bediende Esther Captain Sara Sibilla Verdion was 32 jaar toen ze haar huis aan de Minrebroeder-
straat 20 in Utrecht verliet voor een afspraak met de notaris. Daar liet 
ze in zwierige letters in haar testament vastleggen:",Colonial Exploitation & Economic Inequality
"gans geen yver tot de 
christelĳke religie’ te bespeuren.11 In de stad Utrecht woonde de vrĳe zwarte man Eduard van Akaboa 
met zĳn gezin in de Drieharingstraat, een zĳstraat van de Oudegracht, 
op een steenworp van het stadhuis. Van Akaboa kwam uit Angola en 
was waarschĳnlĳk een voormalige tot slaaf gemaakte. Hĳ staat in 1652 
in het leerjongensboek van het Utrechtse zilversmedengilde genoemd. In 
Utrecht werkte hĳ als wapengraveerder, en deze kennis werd doorgege-
ven aan zĳn nazaten, waaronder zoon Gerrit, die hĳ met zĳn vrouw",Colonial Exploitation & Economic Inequality
"In 1744 
werd hĳ resident van de afdeling Boelecomba (Bulukumba) en Bonthain 
(Bantaeng), aan de baai van Bone ten zuiden van de hoofdplaats Makas-
sar. Beens vroeg en kreeg toestemming om zĳn gezin over te laten 
komen, hetgeen in 1746 ook gebeurde. Buiten het zicht van gouverneur Loten ontpopte Beens zich als een 
ware potentaat, die ondergeschikten en lokale inwoners boetes gaf 

108 
WIM MANUHUTU
wanneer hem onvoldoende respect en eer werden bewezen. Hĳ glipte 
tussen de mazen van de voc door en hield zich als privéhandelaar bezig 
met opiumhandel, die eigenlĳk geheel aan de voc was voorbehouden. Maar wat nog meer in het oog sprong dan deze opiumsmokkel was de 
grootschalige illegale slavenhandel waarin Beens actief was.",Colonial Exploitation & Economic Inequality
"Hĳ 
woonde onder meer op de ‘ Nieuwegracht bĳ de Plompentoren’, wat nu 
de Plompetorengracht is.8 Zĳn zoon Michiel Antonĳ was op zĳn beurt 
de vader van het latere vroedschapslid en de Utrechtse burgemeester 
Hubert Matthĳs Adriaan Jan van Asch van Wĳck, naar wie de Van Asch 
van Wĳckskade is vernoemd. In 1739 was Hendrick van Asch van Wĳck zowel vroedschapslid als 
bewindhebber van de wic.9 In die hoedanigheid was hĳ betrokken bĳ de 
stichting van verschillende plantages in Suriname.10",Colonial Exploitation & Economic Inequality
"Gedurende zĳn bewindhebberschap in-
vesteerde deze compagnie diverse malen in schepen die slaafgemaakten 
tussen Afrika en Amerika vervoerden. Bovendien was hĳ aandeelhouder, 
wat hem mede-eigenaar van de koffieplantage Utrecht maakte. Hĳ bleef 
mede-eigenaar van de plantage tot aan zĳn dood in 1766. Zĳn vader, Gerard Drĳver Blydenbergh, was een Amsterdamse 
koopman die een tĳd lang voor de voc had gewerkt als onderkoopman 
in Batavia. Uit enkele documenten is op te maken dat Gerard Drĳver 
op de terugweg naar de Republiek tĳdens een tussenstop in Kaapstad 
twee slaafgemaakten verkocht: Jan van Makassar en Liesbeth van 
Tonkin.17 Ook Blydenbergh’s overgrootvader, Hendrick Hamel, voer 
reeds als wic-bewindhebber van de kamer Amsterdam naar Brazilië.",Colonial Exploitation & Economic Inequality
"Er waren echter meer kapers op de kust. Andere handelaren in de 
Republiek dienden in 1652 namelijk ook een request in bij de Staten-­
Generaal. Ditmaal om een nieuwe compagnie op te richten, die slaaf­
gemaakte Afrikanen binnen het octrooigebied van de wic zou mogen 
verkopen. Een andere petitie laat zien dat Joodse Amsterdammers in 1648 
van mening waren dat Angola niet op de Portugezen terugveroverd hoefde 
te worden. Ook nu Angola niet meer in handen was van de wic, werden er 
immers ‘net zoveel zwarten [naar]",Colonial Exploitation & Economic Inequality
"Vanwege de commerciële 
belangen hechtten vooral de zeeprovincies veel waarde aan de koloniën. Het 
gewest Zeeland beschouwde enkele koloniën zelfs als Zeeuws eigendom, zoals 
Suriname, dat in 1667 door een Zeeuwse vloot werd veroverd en later werd 
verkocht aan een landelijke sociëteit. Holland betaalde het leeuwendeel van 
de koloniale kosten en vond dat het daarom ook recht had op het meeste 
economische voordeel van de koloniale compagnieën. Toch probeerden ook 
de kleinere provincies als Groningen, Friesland en Utrecht belangen in de VOC 
en WIC veilig te stellen. Het is niet verwonderlijk dat gewestelijke bestuurders 
zich actief bemoeiden met koloniaal beleid.",Colonial Exploitation & Economic Inequality
"het stadsbestuur werd afgezet en er 
Oefening van het exercitiegenootschap Pro Patria et Libertate in Sterrenbos. Anoniem, 1784 
(Het Utrechts Archief)

228 
NANCY JOUWE
kwam een democratisch gekozen stadsbestuur met jongere bestuurders. Na deze overwinning in 1786 ging Ondaatje verder met zĳn studie – hĳ 
was inmiddels naar rechten overgestapt – en hĳ promoveerde in Leiden 
in januari 1787. Daarna keerde hĳ naar Utrecht terug. In de tussentĳd 
Burgemeester Arnoud Loten belaagd door boze Utrechtse burgers, december 1785.",Colonial Exploitation & Economic Inequality
"Op basis van Van Rossum et al., Slave Transport Permissions. Steven van der Haghen en George Beens
1. Voor de biografische gegevens over het leven van Steven van der 
Haghen is dankbaar gebruikgemaakt van de informatie uit Roel van der 
Hulst, ‘Steven van der Haghen, admiraal der voc (1563-1624)’, http://
gw.peter.bakker.name/haghen/ (geraadpleegd 24-02-2021).
2. Zĳn ouders keerden na het begin van de opstand tegen het Spaanse 
bestuur naar de Zuidelĳke Nederlanden terug, wat een indicatie kan 
zĳn dat ze zich in ieder geval niet tot de enthousiaste aanhangers 
van die opstand rekenden óf hun handelsbelangen meer gewicht 
gaven. De kleine Steven bleef bĳ de familie van zĳn moeder achter, 
maar voegde zich op tienjarige leeftĳd bĳ zĳn ouders, waar hĳ eerst 
in Ieper en later in Spanje jarenlang in de handel werkte en ervaring 
opdeed.",Colonial Exploitation & Economic Inequality
"Berbice was in handen van de invloedrijke koopmansfa­
milie Van Pere uit Zeeland onder een octrooi van de wic. Ondanks de ver­
schillen in bestuur ontwikkelden de twee koloniën zich op gelijke wijze. Beide groeiden langzaam. Aanvankelijk legden de kolonisten zich toe op 
handel met oorspronkelijke bewoners, waarbij het ging om hout en anna­
to, een plantaardige verfstof die geproduceerd werd door Zuid-Afrikaanse 
vrouwen en onder meer gebruikt werd om boter en kaas in de Republiek 
te kleuren. Daarnaast verbouwde men tabak, een verslavend gewas dat in 
Europa snel aan populariteit won.",Colonial Exploitation & Economic Inequality
"Als ‘blankofficier’ 
had hĳ daar de taak toe te zien op alle werkzaamheden die gedaan werden 
op de plantage, om dit vervolgens te rapporteren aan de directeur.52
Toen de Compagnie in 1754 werd ontbonden en een groep groot-
aandeelhouders overbleef, werd een ‘sociëteit’ opgericht, in een 
soortgelĳke constructie als die van de Utrechtse Compagnie.53 De 
aandeelhouders van deze Utrechtse Sociëteit, voor het overgrote deel 
oud-grootaandeelhouders van de Utrechtse Compagnie, stelden twee 
Amsterdammers aan, Jan Gysberto de Mey en Samuel Ximenes, om 
de plantage te beheren vanuit de Republiek. Zĳ werkten samen met 
Kaart van Suriname. Alexander de Lavaux, c.1737 (Rijksmuseum)",Colonial Exploitation & Economic Inequality
"Dat gold niet voor de Hituezen, die zich samen 
met de sultan van Ternate in de Noord-Molukken vanaf het einde van 
de zestiende eeuw tegen de Portugezen verzetten. In ruil voor steun tegen de Portugezen sloten de Hituezen een verbond 
met de Nederlanders, waarbĳ zĳ voortaan hun kruidnagels aan de 
Nederlanders leverden in ruil voor militaire steun.6 Van der Haghen 
– in het Molukse geschiedverhaal Hikayat Tanah Hitu Istin Warhage 
genoemd – bouwde een versterking aan de noordkust van Hitu, het 

STEVEN VAN DER HAGHEN EN GEORGE BEENS 
105
Kasteel van Verre, de eerste Nederlandse vesting op Ambon.7 Het fort 
zou niet al te lang standhouden, omdat Van der Haghen bĳ zĳn vertrek 
alleen een kleine bezetting achterliet, die geen partĳ bleek tegen een 
Admiraal Steven van der Haghen.",Colonial Exploitation & Economic Inequality
"Het schip zou een aantal jaren later tot 
slaaf gemaakten van een gekaapt Portugees schip overnemen.29 Aan 
slavernĳ werd niet alleen via de wic verdiend. Diezelfde Reinout van 
Tuyll van Serooskerken was in die tĳd betrokken bĳ de financiering 

162 
CAROLINE DRIEËNHUIZEN
van een kolonie op Stateneiland in Nieuw Nederland",Colonial Exploitation & Economic Inequality
"De Staten-Generaal waren bang 
dat de financiers van de voc bij liquidatie van de Compagnie eieren voor 
hun geld zouden kiezen, en niet opnieuw zouden willen deelnemen in een 
vergelijkbare onderneming. Daarom namen ze een radicaal nieuwe stap: 
de staat stond de Compagnie in 1612 toe om de beloofde opheffingsdatum 
te negeren en de terugbetaling van het oorspronkelijk geïnvesteerde 
­kapitaal uit te stellen voor onbepaalde tijd. Dat leidde uiteraard tot een 
gespannen verhouding met de aandeelhouders. Sommigen daarvan pro­
beerden zelfs een eigen onderneming op te zetten om het voc-monopolie 
te doorbreken. De spanningen duurden voort tot 1623.",Colonial Exploitation & Economic Inequality
"Als mensen te koop werden aan­
geboden maar door de Nederlanders niet werden gekocht zouden ze, zo 
luidde het argument, worden opgegeten. Was het dan niet beter om hen te 
redden door ze te kopen? Waarschijnlijk was dit argument een excuus om 
in Maranhão wel inheemse slavernij toe te staan, waar dat verder in Neder­
lands-Brazilië verboden was. Soortgelijke argumenten werden ook in de 
Spaanse koloniën gebezigd nadat het in 1512 was verboden om de oor­
spronkelijke bevolking in slavernij te houden.",Colonial Exploitation & Economic Inequality
"Dit ‘Contract van 1773’ was het 
initiatief van enkele Utrechtse notabelen, waaronder toenmalig raad 
in de vroedschap van Utrecht Adriaan van Romondt (1738-1818). In 
Administratie van een negotiatie (Universiteitsbibliotheek Utrecht, Bijzondere Collecties)

138 
MATTHIJS KUIPERS
Utrecht werd in 1776 ook het investeringsfonds Voordeelig en Voorsigtig 
opgericht – door dezelfde initiatiefnemers als het Contract van 1773 – 
maar dit keer ingeschreven bĳ de Amsterdamse makelaar Abraham van 
Ketwich. De belofte was een jaarlĳks rendement van 4 procent, maar al 
na enkele jaren werd niks meer van dit fonds in de kranten vernomen. Het is waarschĳnlĳk geliquideerd.17 Ook de negotiaties van Dirk Wernard 
van Vloten kregen meer een fondskarakter, maar bleven wel exclusief 
op plantages gericht.",Colonial Exploitation & Economic Inequality
"Er kwamen ook grootschalige, collectieve vormen van verzet voor. Met 
regelmaat verliet een groep mensen of zelfs een gehele plantagegemeen­
schap het werkkamp. In 1741 bijvoorbeeld, liepen achtendertig creoolse 
slaafgemaakten weg van de wic-plantages Poelwijk en Duinenberg in 
Essequibo. De wic had hen tewerkgesteld om zilvermijnen te graven.",Colonial Exploitation & Economic Inequality
"Vanaf dat moment mocht hĳ zich heer van 
Oostwaard noemen en had hĳ politiek zeggenschap over het gebied dat 
in zĳn bezit was. Daarmee kwamen de Hondii in de adels- en regen-
tenkringen van Utrecht terecht. De Hondii zĳn dan ook verbintenissen 
aangegaan met leden van de Utrechtse elite. Zo vinden we onder andere 
huwelĳken met de families Velthuysen en Booth. Na Lucas Hondius stierf 
deze tak van de familie vrĳ snel uit.",Colonial Exploitation & Economic Inequality
"Atlantic Slave Trade Database: www.slavevoyages.org/voyage/
database (geraadpleegd 20-12-2020). 5. Van Stipriaan, Rotterdam in slavernĳ, 87.
6. Susan Legêne, De bagage van Blomhoff en Van Breugel. Japan, Java, Tripoli 
en Suriname in de negentiende-eeuwse Nederlandse cultuur van het impe-
rialisme (Amsterdam:",Colonial Exploitation & Economic Inequality
"Gerard Blydenbergh en 
Jacob de Jonkheere waren vroedschapsleden en tegelĳkertĳd tot 1752 
medebewindhebbers van de Utrechtse Compagnie. Bovendien hadden 
de Staten van Utrecht een stem in het kiezen van de zes commissarissen 
die de bewindhebbers controleerden.28 Een van deze commissarissen, 
Johan Hendrik Strick van Linschoten, was eveneens vroedschapslid. Deze hevige bestuurlĳke inmenging werd al van het begin af aan af-
gedwongen bĳ de verdeling van de actiën in 1720: bĳ oprichting van de 
Compagnie gingen 5.070 van de in totaal 10.000 actiën uit naar leden van 
vroedschappen van Utrechtse steden, leden van de Staten van Utrecht 
en de initiatiefnemer Meinertzhagen. De bestuurlĳke elite van Utrecht 
had dus vanaf het begin een grote vinger in de pap van de Compagnie.",Colonial Exploitation & Economic Inequality
