topic,term,cosine,df,weight,category,parent,is_seed,phase1_decision,phase1_reason,phase2_flag,phase2_priority,phase3_decision,phase3_action,phase4_decision,phase4_action,phase4_old_category,phase4_old_weight,phase5_adjustment,phase5_reason,phase2_manual_decision,phase2_manual_reason
Contemporary_Manifestations,afro-antillianen,1.0,10,0.95,strong_problem,afro-antillianen,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-nederlanders,1.0,4,0.95,strong_problem,afro-nederlanders,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,zwarten,1.0,29,0.95,strong_problem,zwarten,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,anti-zwart,1.0,17,0.95,strong_problem,anti-zwart,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,discriminatietoets,1.0,33,0.95,strong_problem,discriminatietoets,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stagediscriminatie,1.0,5,0.95,strong_problem,stagediscriminatie,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stage-discriminatie,1.0,2,0.95,strong_problem,stage-discriminatie,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,arbeidsdiscriminatie,1.0,2,0.95,strong_problem,arbeidsdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,discriminatiegronden,1.0,4,0.95,strong_problem,discriminatiegronden,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,vooroordeel,1.0,6,0.95,strong_problem,vooroordeel,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stereotypen,1.0,9,0.95,strong_problem,stereotypen,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stereotyperingen,1.0,9,0.95,strong_problem,stereotyperingen,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stereotyperende,1.0,4,0.95,strong_problem,stereotyperende,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,racismeprobleem,1.0,3,0.95,strong_problem,racismeprobleem,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,systematisch,1.0,30,0.95,strong_problem,systematisch,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,systematische,1.0,23,0.95,strong_problem,systematische,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,systemisch,1.0,6,0.95,strong_problem,systemisch,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,systemische,1.0,7,0.95,strong_problem,systemische,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,institutioneel,1.0,57,0.95,strong_problem,institutioneel,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,racismevormen,1.0,2,0.75,related_moderate,racismevormen,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,xenofobie,1.0,2,0.75,related_moderate,xenofobie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,intolerantie,1.0,2,0.75,related_moderate,intolerantie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,genderdiscriminatie,1.0,1,0.75,related_moderate,genderdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,zwangerschapsdiscriminatie,1.0,2,0.75,related_moderate,zwangerschapsdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,leeftijdsdiscriminatie,1.0,2,0.75,related_moderate,leeftijdsdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,uitsluitingswetten,1.0,1,0.75,related_moderate,uitsluitingswetten,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,raciaal-etnische,1.0,2,0.75,related_moderate,raciaal-etnische,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,huidskleuren,1.0,1,0.75,related_moderate,huidskleuren,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,discriminatiezaken,1.0,3,0.75,related_moderate,discriminatiezaken,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,discriminatiemelding,1.0,2,0.75,related_moderate,discriminatiemelding,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,discriminatie-,1.0,6,0.55,era_context,discriminatie-,1,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,,
Contemporary_Manifestations,stereotyperend,0.9809,2,0.95,strong_problem,stereotyperende,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,anti-zwarte,0.9664,2,0.95,strong_problem,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stereotypes,0.9651,3,0.95,strong_problem,stereotypen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,discriminatiezaak,0.9495,2,0.75,related_moderate,discriminatiezaken,0,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,stereotype,0.9455,6,0.95,strong_problem,stereotypen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,tolerantie,0.9417,11,0.75,related_moderate,intolerantie,0,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,,
Contemporary_Manifestations,discrimineren,0.9333,8,1.0,core_problem,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,institutionele,0.9259,28,0.95,strong_problem,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,anti-racisme,0.9193,3,1.0,core_problem,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,afro-caraïbische,0.8929,3,0.95,strong_problem,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,discriminerend,0.8909,9,1.0,core_problem,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,anti-racistisch,0.8851,3,1.0,core_problem,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,antiracisme,0.8837,6,1.0,core_problem,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,antiracisme-,0.8819,2,1.0,core_problem,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,stereotypering,0.881,7,0.95,strong_problem,stereotyperingen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,discriminatoire,0.8767,4,1.0,core_problem,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,gediscrimineerde,0.875,2,1.0,core_problem,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,antidiscriminatie-,0.8744,2,0.55,era_context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,,
Contemporary_Manifestations,discriminerende,0.87,10,1.0,core_problem,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,non-discriminatiegronden,0.8612,3,0.95,strong_problem,discriminatiegronden,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,constitutionele,0.8607,20,0.95,strong_problem,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,gediscrimineerd,0.8524,20,1.0,core_problem,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,systematiek,0.8467,10,0.95,strong_problem,systemische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,aansluit,0.8425,14,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,non-discriminatie,0.8404,8,1.0,core_problem,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,opsluiting,0.8403,2,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,sluiting,0.8396,5,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,nische,0.835,2,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afsluiting,0.8345,5,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,vooroordelen,0.8325,26,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,discriminatieverboden,0.8313,2,0.55,era_context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,,
Contemporary_Manifestations,formeel-systemisch,0.8287,2,0.95,strong_problem,systemisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,niet-zwarte,0.8267,2,0.95,strong_problem,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afsluit,0.8259,2,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,oordeel,0.8147,56,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,insluiting,0.8129,6,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,racism,0.8113,5,1.0,core_problem,racisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,afsluiten,0.799,9,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,uitsluitsel,0.7966,3,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,systems,0.796,2,0.95,strong_problem,systemische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,aansluiten,0.7948,20,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,racist,0.7901,2,1.0,core_problem,racistische,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,antillianen,0.7893,9,0.95,strong_problem,afro-antillianen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,surinaamse,0.781,128,0.95,strong_problem,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,instituties,0.7795,25,0.95,strong_problem,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,sluiten,0.7713,51,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,antidiscriminatievoorzieningen,0.7665,5,0.55,era_context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,,
Contemporary_Manifestations,uitsluiten,0.7657,6,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,oordelen,0.765,12,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,non-discriminatiebepalingen,0.7613,2,0.55,era_context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,,
Contemporary_Manifestations,zwarte,0.7612,275,0.95,strong_problem,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,arbeidsrecht,0.7603,3,0.95,strong_problem,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stereotiep,0.7583,2,0.95,strong_problem,stereotyperende,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,vlaamse,0.7539,8,0.95,strong_problem,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,sluitend,0.7524,5,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,uitreding,0.7513,2,1.0,core_problem,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,antidiscriminatiebeleid,0.7385,2,0.55,era_context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,,
Contemporary_Manifestations,system--the,0.7346,2,0.95,strong_problem,systemische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,zwart,0.73,82,0.95,strong_problem,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,blanke,0.7276,21,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,caribische,0.7259,174,0.95,strong_problem,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,antilliaan,0.7242,2,0.95,strong_problem,afro-antillianen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,sluit,0.721,24,0.85,related_strong,uitsluiting,0,KEEP,,,0,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,,
Contemporary_Manifestations,veroordelen,0.7205,7,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-amerikaanse,0.7199,6,0.95,strong_problem,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,amerikaansche,0.7171,3,0.95,strong_problem,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,antilliaanse,0.7164,46,0.95,strong_problem,afro-antillianen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,blanken,0.7143,20,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,antidiscriminatiebureaus,0.7096,2,0.55,era_context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,,
Contemporary_Manifestations,oordeelden,0.7082,2,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,etniciteit,0.707,11,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,psychologisch,0.7059,5,0.95,strong_problem,systematisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,problematisch,0.7054,14,0.95,strong_problem,systematisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-nederlandse,0.7039,3,0.95,strong_problem,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,paarse,0.7032,3,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,latijns-amerikaanse,0.7024,2,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,culturele,0.7002,148,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,beoordelen,0.6984,12,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,nationaliteit,0.6982,18,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,grijs,0.6979,7,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,territoriale,0.6976,2,0.95,strong_problem,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,arbeidersprotest,0.6974,2,0.95,strong_problem,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,thematisch,0.6973,4,0.95,strong_problem,systematisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-,0.6949,9,0.95,strong_problem,afro-surinamers,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,antiracisme-golf,0.6936,2,0.85,related_strong,anti-zwartracisme,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,KEEP,Anti-racism term. Lower to 0.75 related_moderate
Contemporary_Manifestations,uitsluitende,0.693,4,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,KEEP,Contains exclusion/closing root. Lower to 0.75 related_moderate
Contemporary_Manifestations,typerende,0.6925,2,0.95,strong_problem,stereotyperende,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afrikaanse,0.6893,235,0.95,strong_problem,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,interculturele,0.688,3,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,arbeidsgeschillenwet,0.6878,2,0.95,strong_problem,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,ex-surinamers,0.6877,2,0.95,strong_problem,afro-surinamers,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,stagepact,0.6874,8,0.95,strong_problem,stagediscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,surinaams,0.6867,5,0.95,strong_problem,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,arbeidsparticipatie,0.685,4,0.95,strong_problem,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,gerechtelijk,0.6848,2,0.95,strong_problem,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,nederlands-vlaamse,0.684,2,0.95,strong_problem,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,antilliaans,0.6835,8,0.95,strong_problem,afro-antillianen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,grijze,0.6832,3,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,surinamers,0.6827,22,0.95,strong_problem,afro-surinamers,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,nederlanders,0.6821,279,0.95,strong_problem,afro-nederlanders,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,veroordeeld,0.6798,30,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,anti-,0.6796,7,0.95,strong_problem,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,zwart-wit,0.6792,4,0.95,strong_problem,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,paars,0.6785,2,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-curaçaose,0.6782,2,0.95,strong_problem,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,amerikaans,0.6777,3,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,opvatting,0.6771,26,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,veronderstellingen,0.6766,3,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,veroordeelden,0.6766,6,0.95,strong_problem,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,latijns-amerika,0.6761,10,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,amerikaanse,0.6759,74,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,arbeidsuitbuiting,0.6758,3,0.95,strong_problem,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,niet-witte,0.6757,4,0.95,strong_problem,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,psychologische,0.6756,11,0.95,strong_problem,systematisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,witte,0.6754,195,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,blank,0.675,7,0.95,strong_problem,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,aziatisch,0.6736,4,0.95,strong_problem,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,arbeidsdwang,0.6733,4,0.95,strong_problem,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
